ENSG	CDS	5utr	3utr	5utr|3utr	intron	intergenic	noncoding_exon	noncoding_intron
ENSG00000166224.12	18	0	8	0	81	0	0	0
ENSG00000237851.1	0	0	0	0	0	0	1	1
ENSG00000102897.5	2	2	2	0	24	0	0	0
ENSG00000092850.7	3	0	0	0	0	0	0	0
ENSG00000010295.15	32	2	2	0	29	0	0	0
ENSG00000253766.1	0	0	0	0	0	0	0	13
ENSG00000233324.1	0	0	0	0	0	0	1	0
ENSG00000225193.5	0	0	0	0	0	0	4	0
ENSG00000260630.2	0	0	0	0	0	0	12	26
ENSG00000234268.1	0	0	0	0	0	0	1	0
ENSG00000147533.12	7	2	6	0	15	0	0	0
ENSG00000254681.2	0	0	0	0	0	0	5	2
ENSG00000106246.13	20	2	4	0	41	0	0	0
ENSG00000176136.4	2	0	0	0	0	0	0	0
ENSG00000226306.6	0	0	0	0	0	0	1	2
ENSG00000203711.7	0	0	0	0	7	0	0	0
ENSG00000266826.1	0	0	0	0	0	0	2	0
ENSG00000168175.10	14	3	36	0	78	0	0	0
ENSG00000206633.1	0	0	0	0	0	0	180	0
ENSG00000117868.11	30	0	20	0	180	0	0	0
ENSG00000177173.5	0	0	0	0	0	0	8	0
ENSG00000229917.2	0	0	0	0	0	0	2	0
ENSG00000174332.3	2	0	0	0	148	0	0	0
ENSG00000042832.7	0	0	0	0	50	0	0	0
ENSG00000159733.9	7	3	4	0	92	0	0	0
ENSG00000125409.8	2	0	0	0	9	0	0	0
ENSG00000220785.3	0	0	0	0	0	0	0	4
ENSG00000117425.9	8	0	470	0	15	0	0	0
ENSG00000034063.9	0	0	0	0	0	0	61	83
ENSG00000234580.1	0	0	0	0	0	0	1	0
ENSG00000101446.7	1	0	0	0	0	0	0	0
ENSG00000140575.8	101	1	25	0	86	0	0	0
ENSG00000254673.1	13	0	0	0	68	0	0	0
ENSG00000250948.1	0	0	0	0	0	0	0	2
ENSG00000263818.1	0	0	0	0	0	0	1	40
ENSG00000106992.13	7	0	1	0	5	0	0	0
ENSG00000167074.10	7	0	4	0	16	0	0	0
ENSG00000223522.1	0	0	0	0	0	0	1	0
ENSG00000143479.11	3	0	0	0	4	0	2	24
ENSG00000261014.1	0	0	0	0	0	0	0	4
ENSG00000119514.5	9	0	1	0	20	0	0	0
ENSG00000223861.1	0	0	0	0	0	0	1	0
ENSG00000108510.5	204	1	25	0	407	0	0	0
ENSG00000254209.1	0	0	0	0	0	0	0	2
ENSG00000232527.3	0	0	0	0	0	0	8	110
ENSG00000236627.1	0	0	0	0	0	0	1	1
ENSG00000206052.6	3	1	2	0	192	0	0	0
ENSG00000234602.3	4	0	1	0	6	0	0	0
ENSG00000261118.1	0	0	0	0	0	0	0	2
ENSG00000085832.12	41	0	14	0	181	0	0	0
ENSG00000249199.1	0	0	0	0	0	0	0	1
ENSG00000237152.2	0	0	0	0	0	0	2	27
ENSG00000269711.1	1	0	1	0	5	0	0	0
ENSG00000251569.1	3	0	0	0	15	0	0	0
ENSG00000159248.4	0	0	0	0	1	0	0	0
ENSG00000100519.7	17	0	2	0	38	0	0	0
ENSG00000236758.1	0	0	0	0	0	0	0	1
ENSG00000121690.5	5	0	0	0	8	0	0	0
ENSG00000080371.4	8	1	25	0	36	0	0	0
ENSG00000185860.9	0	0	0	0	2	0	0	9
ENSG00000271584.1	0	0	0	0	0	0	0	2
ENSG00000117010.11	6	1	2	0	6	0	0	0
ENSG00000230912.1	0	0	0	0	0	0	0	3
ENSG00000182158.10	24	10	57	0	188	0	0	0
ENSG00000151320.6	12	0	2	0	171	0	0	0
ENSG00000176290.6	0	0	0	0	0	0	3	0
ENSG00000234667.1	0	0	0	0	0	0	4	0
ENSG00000228434.1	0	0	0	0	0	0	11	12
ENSG00000171444.13	11	3	3	0	288	0	0	0
